ufo_id,location
9649,"['Medicine Bow National Mountains', ' Medicine Bow National Fores', ' WY', ' USA']"
9659,"['Raquette Lake', ' adirondack mts.', ' NY', ' USA']"
9686,"['Seattle (1-90', ' between Mercer Island and Seattle)', ' WA', ' USA']"
9753,"['Northern California Coast (in', ' highway)', ' CA', ' USA']"
9770,"['Navajo (15 miles west of', ' on I-40 Eastbound)', ' AZ', ' USA']"
9780,"['Dayton', ' Trotwood', ' West Carrollton', ' OH', ' USA']"
9788,"['Savoonga', ' St. Lawrence Island', ' AK', ' USA']"
9861,"['Columbia Station (heading west', ' past Grafton)', ' OH', ' USA']"
9891,"['Marksville (Spring Bayou', ' 1st landing)', ' LA', ' USA']"
9895,"['I-80 (eastbound', ' M.M. 48)', ' UT', ' USA']"
9917,"['Calumet City (just south of chicago', ' ill)', ' ill', ' IL', ' USA']"
10000,"['Austin/Eureka (between', ' U.S.hiway 50)', ' NV', ' USA']"
10150,"['Ozark National Forest (near Spring Lake', ' aprx.5 miles to N)', ' AR', ' USA']"
10168,"['Wilsonville (exit', ' I-5', ' 1 mile N of)', ' OR', ' USA']"
10191,"['Upper Sandusky (on Rt.30', ' west of)', ' OH', ' USA']"
10211,"['Los Angeles/Atlanta (between', ' not sure where)', ' GA', ' USA']"
10239,"['Minnesota (central', ' rural)', ' MN', ' USA']"
10265,"['Atlanta (south side of', ' Forest Park)', ' GA', ' USA']"
10278,"['Shortsville-Manchester', ' n.y. (Canada)', ' ON', ' Canada']"
10290,"['Winnemucca/Lovelock (between', ' on Hwy. 95)', ' NV', ' USA']"
10293,"['Louisville (90 minutes out of', ' Camp Crooked Creek)', ' KY', ' USA']"
10335,"['Tigard (12 mi so of Portland', ' Exit 290 I 5)', ' OR', ' USA']"
10349,"['Pittsburgh (Mckees Rocks', ' southwest of)', ' PA', ' USA']"
10399,"['Florien/Hornbeck (between', ' Hwy 191)', ' LA', ' USA']"
10404,"['Cleveland (Newton', ' Silver Creek)', ' WI', ' USA']"
10448,"['Springfield (14 mi. S of', ' near Highlandville)', ' MO', ' USA']"
10466,"['Live Oak/Pensacola ( between', ' on Hwy10)', ' FL', ' USA']"
10550,"['Mexico', ' Distrito Federal', ' D.F. (Mexico)', ' Mexico']"
10646,"['Pueblo/Colorado Springs (between', ' I-25)', ' CO', ' USA']"
10793,"['New Philidelphia (South of', ' I-77 NB near MM77 )', ' OH', ' USA']"
10810,"['Rancho Cordova', ' just east/southeast of Sacramento', ' 2 miles f', ' CA', ' USA']"
10905,"['Detroit (or Windsor', ' ONT)', ' MI', ' USA']"
10921,"['Howell (5 mi. N of', ' on a dark country road)', ' MI', ' USA']"
10923,"['Nashville (on I-24', ' 60 mi. southeast of)', ' TN', ' USA']"
10942,"['Bishop (remote', ' High Sierras', ' above)', ' CA', ' USA']"
11038,"['Ohio (I-71', ' Mile Marker 75)', ' OH', ' USA']"
11044,"['El Centro (50 miles west of', ' on Hwy 8)', ' CA', ' USA']"
11052,"['Lowell (outside of', ' on I-65 northbound)', ' IN', ' USA']"
11067,"['New York City/Philadelphia (between', ' on aircraft)', ' NY', ' USA']"
11068,"['New York/Philadelphia (between', ' on aircraft)', ' NY', ' USA']"
11089,"['Sprague/Ritzville (between', ' I-90)', ' WA', ' USA']"
11108,"['Fairbanks', ' Trans Alaskan Pipeline haul road 250 mi N of', ' AK', ' USA']"
11115,"['Detroit (north of', ' driving east on I-696)', ' MI', ' USA']"
11155,"['Atlanta (going northwest toward', ' highway 316)', ' GA', ' USA']"
11207,"['Birmingham (Wisteria Dr.', ' .5 mi down)', ' AL', ' USA']"
11254,"['Dallas /Ft. Worth area', ' South of the', ' TX', ' USA']"
11296,"['Jay Co. into Wells Co. (550w', ' extending from)', ' IN', ' USA']"
11381,"['Columbia (east of', ' near Little Dixie Conservation Area)', ' MO', ' USA']"
11383,"['Marshall Creek (Rte. 209', ' west 1 mile of  Marshall Cr. jxn.)', ' PA', ' USA']"
11418,"['Woodville (from', ' to Weeksville (approx. 16 mi.))', ' NC', ' USA']"
11420,"['Pocasset (6 miles south of', ' on Hwy 81)', ' OK', ' USA']"
11474,"['Cupey (San Juan', ' Puerto Rico)', ' PR', ' USA']"
11499,"['Moses Lake (West of', ' I-90)', ' WA', ' USA']"
11505,"['Kenora (sw of', ' 16 mi. on Lake of the Woods) (Canada)', ' ON', ' Canada']"
11542,"['Mallets Bay (in Colchester', ' Rte. 127)', ' VT', ' USA']"
11577,"['Keys/Ceres (between', ' right over Hyw 99)', ' CA', ' USA']"
