ufo_id,location
19213,"St. Petersburg (Russia), Russia"
19245,"Kranglvea (Cambodia), Cambodia"
19250,"Martinborough (New Zealand), New Zealand"
19303,"Calahonda (Spain), Spain"
19305,"Ipswich (Suffolk) (UK/England), United Kingdom"
19322,"Bahia de Los Angeles (Baja California) (Mexico), Mexico"
19350,"Clacton-On-Sea (UK/England), United Kingdom"
19354,"Afyon (Turkey), Turkey"
19355,"Tidworth (UK/England), United Kingdom"
19360,"Warsaw (A few miles outside) (Poland), Poland"
19368,"Dublin (Republic of Ireland), Ireland"
19370,"Karaganda (Kazakhstan), Kazakhstan"
19385,"Scarborough (UK/England), United Kingdom"
19436,"Taif (30 km west from) (Saudi Arabia), Saudi Arabia"
19537,"Malaysia/Ringgit, Malaysia"
19543,"Lincoln (UK/England), United Kingdom"
19596,"Peterborough (UK/England), United Kingdom"
19637,"Mosjøen (Norway), Norway"
19639,"Mosjøen (Norway), Norway"
19669,"Karangaroa (New Zealand), New Zealand"
19691,"Craigavon (UK/Northern Ireland), Northern Ireland"
19713,"Mechelen (Belgium), Belgium"
19748,"Taipei City (Taiwan), Taiwan"
19770,"Riga (Latvia), Latvia"
19785,"Co.Durham (UK/England), United Kingdom"
19787,"Príncipe (Havana) (Cuba), Cuba"
19825,"Sainte-Suzanne (near Switzerland) (France), France"
19834,"Bierenbachtal (Germany), Germany"
19835,"Cannock (UK/England), United Kingdom"
19836,"Pueto de Mazarron (Mercia) (Spain), Spain"
19839,"Pueto de Mazarron (Spain), Spain"
19840,"Puerto de Mazarron (Spain), Spain"
19841,"Puerto de Mazarron (Spain), Spain"
19917,"Wicklow (Republic of Ireland), Ireland"
19919,"Dublin (Republic of Ireland), Ireland"
19996,"Qui Nhon (Viet Nam), Vietnam"
20017,"Artic Circle (Russia), Russia"
20066,"Port of Spain (Trinidad), Trinidad and Tobago"
20070,"Dublin (Republic of Ireland), Ireland"
20074,"Grimsby (UK/England) ?, United Kingdom"
20093,"Lindos (Greece), Greece"
20133,"Reading (UK/England), United Kingdom"
20135,"Slough (UK/England), United Kingdom"
20388,"Burnley (UK/England), United Kingdom"
20477,"Bristol (UK/England), United Kingdom"
20480,"Hoppers Crossing (Australia), Australia"
20549,"Harare (rural area outside of) (Zimbabwe), Zimbabwe"
20601,"Shepton Mallet (UK/England), United Kingdom"
20624,"St.Leonards-on-Sea (UK/England), United Kingdom"
20625,"Horsham (UK/England), United Kingdom"
20660,"Dublin (Republic of Ireland), Ireland"
20661,"Puerto Banus (Spain), Spain"
20700,"Derby/Leicester border (UK/England), United Kingdom"
20703,"Bjursas/Falun (Sweden), Sweden"
20730,"Ludhiana (India), India"
20744,"Dunkeld (UK/Scotland), United Kingdom"
20755,"Lowestoft (UK/England), United Kingdom"
20778,"Carlisle (UK/England), United Kingdom"
20788,"North Yorkshire (UK/England), United Kingdom"
20844,"Farncombe (UK/England), United Kingdom"
20856,"Tinaquillo (Venezuela), Venezuela"
20869,"Loeriesfontein (South Africa), South Africa"
20871,"Telford (UK/England), United Kingdom"
20895,"Kerry (Republic of Ireland), Ireland"
20906,"Reading (UK/England), United Kingdom"
20907,"London (Eastham) (UK/England), United Kingdom"
20927,"Assouan (Egypt), Egypt"
20939,"Bermuda NAS, Bermuda"
20995,"Newcastle-upon-Tyne (UK/England), United Kingdom"
20996,"Addlestone (UK/England), United Kingdom"
21019,"Wexford (Republic of Ireland), Ireland"
21076,"Dun Laoghaire (Republic of Ireland), Ireland"
21147,"Bremen (Germany), Germany"
21454,"Valleraugues (France), France"
21514,"Norwich (UK/England), United Kingdom"
21515,"Oundle (UK/England), United Kingdom"
21517,"Norwich (East England) (UK/England), United Kingdom"
21550,"Taunton (near) (UK/England), United Kingdom"
21564,"Trowbridge (UK/England), United Kingdom"
21565,"Mansfield (UK/England), United Kingdom"
21585,"Chiclana (Spain), Spain"
21618,"Punteranus (Costa Rica), Costa Rica"
21619,"Porthcawl (UK/Wales), United Kingdom"
21633,"Padstow (UK/England), United Kingdom"
21687,"Neyland (UK/Wales), United Kingdom"
21694,"Randburg (South Africa), South Africa"
21764,"Hull (UK/England), United Kingdom"
21776,"Torhout (Belgium), Belgium"
21829,"Oakham (UK/England), United Kingdom"
22032,"Ras Al Khaimah (UAE), United Arab Emirates"
22076,"Dumfries (UK/Scotland), United Kingdom"
22083,"Väsby (Sweden), Sweden"
22084,"Atlantic Ocean (Bermuda), Bermuda"
22093,"Inverness (UK/Scotland), United Kingdom"
22104,"Durham (UK/England), United Kingdom"
22105,"Bridgetown (Barbados), Barbados"
22124,"Cascavel (Brazil), Brazil"
22140,"Caribbean Cruise, Caribbean Sea"
22161,"Grimsby (UK/England), United Kingdom"
22162,"Iron Bridge (UK/England), United Kingdom"
22177,Space via nasa tv
22189,"Azores (at sea), Azores"
22194,"Warrington (UK/England), United Kingdom"
22222,"Crewe (UK/England), United Kingdom"
22278,"Wisbech (UK/England), United Kingdom"
22318,"Aberdare (UK/Wales), United Kingdom"
22320,"Blankenberge (Belgium), Belgium"
22329,"Puerto Penasco/N. Sea of Cortez (Mexico), Mexico"
22372,"Maribor (Slovenia), Slovenia"
22400,"Atlantic Ocean (Mid-Atlantic), Israel"
22438,"St-Truiden (Belgium), Belgium"
22442,"CHENNAI CITY (MADRAS) (India), India"
22452,"Ilford (UK/England), United Kingdom"
22464,"Walsall (UK/England), United Kingdom"
22493,"Republic of Ireland (on beach), Ireland"
22526,"Chiuahua (Chiuahua state) (Mexico), Mexico"
22534,"Raahr (Finland), Finland"
22538,"La Serena (Viña del Mar) (Chile), Chile"
22581,"Hemel Hempstead (UK/England), United Kingdom"
22589,"Crewe/Cheshire (UK/England), United Kingdom"
22671,"Alloa (UK/Scotland), United Kingdom"
22712,"Invercargill (New Zealand), New Zealand"
22871,"Hartlepool (UK/England), United Kingdom"
22906,"Caldicot (UK/Wales), United Kingdom"
22907,"Murwillumbah (Just north of) (Australia), Australia"
22914,"Siegen (Germany), Germany"
23081,"Nr. Resende/ Rio de Janeiro State (Brazil), Brazil"
23082,"Swansea (UK/England), United Kingdom"
23089,"Newport (UK/England), United Kingdom"
23138,"Llanfairfechan (UK/Wales), United Kingdom"
23154,"London (NW) (UK/England), United Kingdom"
23157,"Scarborough (UK/England), United Kingdom"
23166,"Falkirk (UK/Scotland), United Kingdom"
23168,"Kilmarnock (UK/England), United Kingdom"
23209,"Krivaj (a village near Kutina) (Croatia), Croatia"
23211,"Saxton (a small village in Yorkshire) (UK/England), United Kingdom"
23235,"Polonnaruwa (Sri Lanka), Sri Lanka"
23238,"Marina di Avola (Italy), Italy"
23244,"Polonnaruwa (Sri Lanka), Sri Lanka"
23255,"Polanuruwa (Sri Lanka), Sri Lanka"
23257,"Kaduruwela (Sri Lanka), Sri Lanka"
23266,"Polannaruwa (Sri Lanka), Sri Lanka"
23274,"Roshnee (South Africa), South Africa"
23290,"Polonnaruwa (Sri Lanka), Sri Lanka"
23320,"Kaduruwela (Sri Lanka), Sri Lanka"
23387,"Pompa Plains (Argentina), Argentina"
23388,"Turin (Italy), Italy"
23407,"Bristol (UK/England), United Kingdom"
23457,"Whitstable (UK/England), United Kingdom"
23497,"Chelmsford (UK/England), United Kingdom"
23511,"Gampaha (Sri Lanka), Sri Lanka"
23533,"Glasgow (Near) (UK/Scotland), United Kingdom"
23535,"Lockerley (UK/England), United Kingdom"
23539,"Airdrie (UK/Scotland), United Kingdom"
23568,"Silvertown (american name), South Korea"
23577,"Almeria (Spain), Spain"
23594,"Formby (UK/England), United Kingdom"
23633,"Ashburton (UK/England), United Kingdom"
23647,"Bradford/Baildon Moor (UK/England), United Kingdom"
23660,"Malton (UK/England), United Kingdom"
23672,"Worcester (South Africa), South Africa"
23686,"Kilkenny (Republic of Ireland), Ireland"
23691,"Paradise Island (Bahamas), Bahamas"
23706,"Bradford (UK/England), United Kingdom"
23751,"Cascavel (Brazil), Brazil"
23768,"Worthing (UK/England), United Kingdom"
23774,"Nova Gorica (Slovenia), Slovenia"
23791,"Lemington (UK/England), United Kingdom"
23814,"Newcastle-upon-Tyne (UK/England), United Kingdom"
23815,"San Felipe (Baja California) (Mexico), Mexico"
23827,"Ryazan (Russia), Russia"
23846,"Warrington (UK/England), United Kingdom"
23902,"C""an Picafort (Majorca) (Spain), Spain"
23904,"Gravesend (UK/England), United Kingdom"
23905,"Zrenjanin (Yugoslavia), Yugoslavia"
23926,"Glenrothes (UK/Scotland), United Kingdom"
23969,"Zadar (Croatia), Croatia"
23978,"Worcestershire (UK/England), United Kingdom"
23998,"Kirton Lindsey (UK/England), United Kingdom"
24026,"Kristianstad (Sweden), Sweden"
24031,"Avebury (UK/England), United Kingdom"
24061,"Sidmouth (UK/England), United Kingdom"
24062,"Sidmouth (UK/England), United Kingdom"
24075,"Kayseri (Turkey), Turkey"
24113,"St. Annes (UK/England), United Kingdom"
24129,"Morecambe (UK/England), United Kingdom"
24144,"Invercargill (New Zealand), New Zealand"
24241,"Vitória (capital city of Espírito Santo state) (Brazil), Brazil"
24274,"Javea Port (Spain), Spain"
24344,"Sandila (India), India"
24349,"Anderslov (Sweden), Sweden"
